18:06:59 INFO  application.ApplicationManager - Start in browser CHROME
18:07:00 INFO  TestBase - Start test addContactTestBase
18:07:00 INFO  TestBase - Test start with data: []
18:07:00 INFO  TestBase - =================================================================================
18:07:00 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:07:03 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:07:03 INFO  application.MyListener - Start finde element by --> By.xpath: //*[.='LOGIN']
18:07:03 INFO  application.MyListener - The element By.xpath: //*[.='LOGIN'] was found
18:07:03 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Email']
18:07:03 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Email'] was found
18:07:03 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Email']
18:07:03 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Email'] was found
18:07:03 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Password']
18:07:03 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Password'] was found
18:07:03 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Password']
18:07:03 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Password'] was found
18:07:03 INFO  application.MyListener - Start finde element by --> By.xpath: //button[text()=' Login']
18:07:03 INFO  application.MyListener - The element By.xpath: //button[text()=' Login'] was found
18:07:04 INFO  application.MyListener - Start finde element by --> By.xpath: //a[.='ADD']
18:07:04 INFO  application.MyListener - The element By.xpath: //a[.='ADD'] was found
18:07:04 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Name']
18:07:04 INFO  application.MyListener - The element By.cssSelector: [placeholder='Name'] was found
18:07:04 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Name']
18:07:04 INFO  application.MyListener - The element By.cssSelector: [placeholder='Name'] was found
18:07:05 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Last Name']
18:07:05 INFO  application.MyListener - The element By.cssSelector: [placeholder='Last Name'] was found
18:07:05 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Last Name']
18:07:05 INFO  application.MyListener - The element By.cssSelector: [placeholder='Last Name'] was found
18:07:05 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Phone']
